"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","","","9791","","test.integration.IntegrationTest","","test.integration.IntegrationTest","","repairIntegrationTest",""
"passed","","","13327","","test.integration.IntegrationTest","","test.integration.IntegrationTest","","clientIntegrationTest",""
"passed","","","126","","test.client.AccountOwnerTest","","test.client.AccountOwnerTest","","accessAccountOwnerPartSeller",""
"passed","","","626","","test.frontDesk.attendanceQueue.AttendanceQueueTest","","test.frontDesk.attendanceQueue.AttendanceQueueTest","","absentSellersQueue",""
"passed","","","3275","","dbunit.model.client.SyoClientTest","","dbunit.model.client.SyoClientTest","","test",""
"passed","","","105222","","test.event.EndEventTest","","test.event.EndEventTest","","endAnotherSuccessfulEvent",""
"broken","","","65612","","test.user.CreateUserTest","","test.user.CreateUserTest","","test",""
"passed","","","5626","","test.login.LoginTest","","test.login.LoginTest","","logoffTest",""
"passed","","","14979","","test.schedule.ScheduleTest","","test.schedule.ScheduleTest","","ScheduleAFreeTime",""
"failed","","","92692","","test.schedule.ScheduleTest","","test.schedule.ScheduleTest","","blockTimeTest",""
"passed","","","12254","","test.integration.IntegrationTest","","test.integration.IntegrationTest","","vehicleIntegrationTest",""
"passed","","","1153","","test.login.LoginTest","","test.login.LoginTest","","wrongPassTest",""
"passed","","","2824","","test.frontDesk.attendance.FrontDeskTest","","test.frontDesk.attendance.FrontDeskTest","","markAttendanceReturn",""
"passed","","","1290","","test.frontDesk.attendanceQueue.AttendanceQueueTest","","test.frontDesk.attendanceQueue.AttendanceQueueTest","","releaseSellersQueue",""
"passed","","","18151","","test.campaign.CampaignTest","","test.campaign.CampaignTest","","lastAcessSiteCampaignTest{String}[1]",""
"passed","","","1285","","test.login.LoginTest","","test.login.LoginTest","","loginFailureTest",""
"passed","","","13270","","test.parameters.LanguageTest","","test.parameters.LanguageTest","","switchLanguageTest{ArgumentsAccessor}[1]",""
"passed","","","3767","","test.frontDesk.attendance.FrontDeskTest","","test.frontDesk.attendance.FrontDeskTest","","changeQueueAndSeller",""
"passed","","","128","","test.client.AccountOwnerTest","","test.client.AccountOwnerTest","","accessAccountOwnerSeller",""
"passed","","","12006","","test.importation.ImportationTest","","test.importation.ImportationTest","","importationTest",""
"passed","","","11586","","test.event.EventTest","","test.event.EventTest","","createOpportunityEventForUsed",""
"passed","","","39355","","test.frontDesk.attendance.FrontDeskTest","","test.frontDesk.attendance.FrontDeskTest","","create",""
"passed","","","17929","","test.event.EventTest","","test.event.EventTest","","createEvent{TypeOfUse}[1]",""
"passed","","","70174","","test.aftersales.SurveyTest","","test.aftersales.SurveyTest","","afterSalesSurveyTest",""
"passed","","","11605","","test.event.EventTest","","test.event.EventTest","","createEvent{TypeOfUse}[2]",""
"passed","","","14507","","test.campaign.CampaignTest","","test.campaign.CampaignTest","","lastAcessSiteCampaignTest{String}[2]",""
"passed","","","16508","","test.frontDesk.attendanceQueue.AttendanceQueueTest","","test.frontDesk.attendanceQueue.AttendanceQueueTest","","restartAttendanceQueue",""
"passed","","","15554","","test.frontDesk.attendance.FrontDeskNewCustomerTest","","test.frontDesk.attendance.FrontDeskNewCustomerTest","","createCustomer",""
"passed","","","66808","","test.event.EndEventTest","","test.event.EndEventTest","","endUnsuccessfulEvent",""
"passed","","","4098","","test.login.LoginTest","","test.login.LoginTest","","loginTest",""
"passed","","","16576","","test.campaign.CampaignTest","","test.campaign.CampaignTest","","scheduleCampaignTest",""
"passed","","","6290","","test.videoClasses.VideoClassesTest","","test.videoClasses.VideoClassesTest","","openVideoLessonTest",""
"failed","","","2447","","test.onlineSchedule.OnlineScheduleTest","","test.onlineSchedule.OnlineScheduleTest","","test.onlineSchedule.OnlineScheduleTest",""
"passed","","","9826","","test.integration.IntegrationTest","","test.integration.IntegrationTest","","partsIntegrationTest",""
"passed","","","666","","test.client.AccountOwnerTest","","test.client.AccountOwnerTest","","accessAccountOwnerTechnicalAdvisor",""
"passed","","","105111","","test.event.EndEventTest","","test.event.EndEventTest","","endSuccessfullEvent",""
"passed","","","16548","","test.event.EventTest","","test.event.EventTest","","createSchedulingEvent",""
"passed","","","2931","","test.frontDesk.attendance.FrontDeskTest","","test.frontDesk.attendance.FrontDeskTest","","createNewAttendance",""
"passed","","","4800","","test.client.CreateClientTest","","test.client.CreateClientTest","","createtheclient",""
"passed","","","10505","","test.frontDesk.schedules.FrontDeskSchedulesTest","","test.frontDesk.schedules.FrontDeskSchedulesTest","","createCustomer",""
"passed","","","2803","","test.schedule.ScheduleTest","","test.schedule.ScheduleTest","","cancelScheduleTest",""
